source_file,package_path,category,id,name,status,notes
37888.png,canonical/trainers/TRN-C01-001__Instructor_Beric.png,trainer,TRN-C01-001,Instructor Beric,canonical,
37891.png,variants_and_alternates/core/CORE-006__Illyr__ALT-REFERENCE.png,core,CORE-006,Illyr,alternate,Earlier labelled/reference portrait
37892.png,canonical/core/CORE-002__Pateric_Pate_Vann.png,core,CORE-002,Pateric “Pate” Vann,canonical,
37893.png,canonical/core/CORE-001__Aimon.png,core,CORE-001,Aimon,canonical,
37894.png,canonical/core/CORE-003__Traden_Trade_Cor.png,core,CORE-003,Traden “Trade” Cor,canonical,
37895.png,variants_and_alternates/core/CORE-007__Nharos__ALT-REFERENCE.png,core,CORE-007,Nharos,alternate,Earlier labelled/reference portrait
38078.jpg,canonical/wardens/WRD-01__Veyr_Keeper_of_Names.jpg,warden,WRD-01,"Veyr, Keeper of Names",canonical,
38079.jpg,canonical/wardens/WRD-02__Ossael_the_Gatherer.jpg,warden,WRD-02,"Ossael, the Gatherer",canonical,
38080.jpg,canonical/wardens/WRD-03__Mordren_Drum_of_War.jpg,warden,WRD-03,"Mordren, Drum of War",canonical,
38082.jpg,canonical/wardens/WRD-05__Asterion_Voice_of_Certainty.jpg,warden,WRD-05,"Asterion, Voice of Certainty",canonical,
38084.jpg,canonical/wardens/WRD-07__Velcar_Oath_Eater.jpg,warden,WRD-07,"Velcar, Oath-Eater",canonical,
38088.jpg,canonical/wardens/WRD-08__Nema_the_Unremembered.jpg,warden,WRD-08,"Nema, the Unremembered",canonical,
38089.jpg,canonical/wardens/WRD-04__Caelor_Last_Magistrate.jpg,warden,WRD-04,"Caelor, Last Magistrate",canonical,
38092.jpg,canonical/wardens/WRD-06__Mirra_Kindly_Shape.jpg,warden,WRD-06,"Mirra, Kindly Shape",canonical,
a_full_body_character_illustration_on_a_bright_mag.png,canonical/core/CORE-009__Abbess_Yselle_Marot.png,core,CORE-009,Abbess Yselle Marot,canonical,
a_full_body_character_illustration_on_a_flat_brig.png,canonical/trainers/TRN-C05-006__Peacekeeper_Olan.png,trainer,TRN-C05-006,Peacekeeper Olan,canonical,
a_full_body_character_illustration_on_a_flat_brigh.png,canonical/trainers/TRN-C09-003__Scholar-Guard_Nere.png,trainer,TRN-C09-003,Scholar-Guard Nere,canonical,
a_full_body_character_illustration_on_a_plain_brig.png,canonical/trainers/TRN-C08-003__Field_Captain_Mor.png,trainer,TRN-C08-003,Field Captain Mor,canonical,
a_full_body_character_illustration_on_a_solid_brig.png,canonical/trainers/TRN-C08-001__Soldier_Arven.png,trainer,TRN-C08-001,Soldier Arven,canonical,
a_full_body_character_portrait_illustration_on_a_s.png,canonical/trainers/TRN-C07-002__Archive_Guard_Fenn.png,trainer,TRN-C07-002,Archive Guard Fenn,canonical,
a_full_body_character_portrait_on_a_flat_magenta_p.png,canonical/trainers/TRN-C09-006__Temple_Captain_Erys.png,trainer,TRN-C09-006,Temple Captain Erys,canonical,
a_full_body_character_portrait_on_a_flat_vivid_ma.png,canonical/trainers/TRN-C09-008__Antiquarian_Sol.png,trainer,TRN-C09-008,Antiquarian Sol,canonical,
a_full_body_character_portrait_on_a_solid_bright_m.png,canonical/trainers/TRN-C06-003__Overseer_Malk.png,trainer,TRN-C06-003,Overseer Malk,canonical,
a_full_body_fantasy_illustration_character_portrai.png,canonical/trainers/TRN-C07-003__Scholar_Yara.png,trainer,TRN-C07-003,Scholar Yara,canonical,
a_full_body_highly_detailed_anime_illustration_s.png,variants_and_alternates/trainers/TRN-C09-008__Antiquarian_Sol__ALT-01.png,trainer,TRN-C09-008,Antiquarian Sol,alternate,
a_full_body_vertical_highly_detailed_fantasy_cha.png,canonical/trainers/TRN-C03-008__Shrine_Keeper_Elia.png,trainer,TRN-C03-008,Shrine Keeper Elia,canonical,
ansel_the_ornate_desert_wanderer.png,canonical/trainers/TRN-C03-001__Guard_Ansel.png,trainer,TRN-C03-001,Guard Ansel,canonical,
arcane_archivist_in_violet_robes.png,canonical/core/CORE-013__Canon_Mirelle_Avin.png,core,CORE-013,Canon Mirelle Avin,canonical,
battle_worn_knight_on_magenta.png,canonical/core/CORE-004__General_Kurg_Halbrecht.png,core,CORE-004,General Kurg Halbrecht,canonical,
battle_worn_purple_cloak_warrior.png,canonical/trainers/TRN-C06-008__Defector_Mara.png,trainer,TRN-C06-008,Defector Mara,canonical,
battle_worn_spear_guardian.png,canonical/trainers/TRN-C05-008__Veteran_Vaun.png,trainer,TRN-C05-008,Veteran Vaun,canonical,
beric_the_fantasy_instructor.png,variants_and_alternates/trainers/TRN-C01-001__Instructor_Beric__ALT-01.png,trainer,TRN-C01-001,Instructor Beric,alternate,Earlier generated version
brann_knight_of_the_crimson_card.png,canonical/trainers/TRN-C02-008__Veteran_Brann.png,trainer,TRN-C02-008,Veteran Brann,canonical,
celestial_archon_with_radiant_halo.png,canonical/core/CORE-006__Illyr.png,core,CORE-006,Illyr,canonical,
corren_siege_engineer_character_card.png,canonical/trainers/TRN-C02-005__Sapper_Corren.png,trainer,TRN-C02-005,Sapper Corren,canonical,
desert_rogue_mercenary_character.png,canonical/trainers/TRN-C04-004__Mercenary_Joss.png,trainer,TRN-C04-004,Mercenary Joss,canonical,
elsen_the_earnest_recruit.png,canonical/trainers/TRN-C01-002__Recruit_Elsen.png,trainer,TRN-C01-002,Recruit Elsen,canonical,
farid_the_ornate_scholar_merchant.png,superseded_legacy/TRN-C03-007__Farid__LEGACY.png,legacy,TRN-C03-007,Farid,superseded,
full_body_character_concept_art_on_a_solid_bright.png,canonical/trainers/TRN-C03-009__Riverhand_Marrec.png,trainer,TRN-C03-009,Riverhand Marrec,canonical,
full_body_character_concept_illustration_on_a_soli.png,canonical/trainers/TRN-C06-004__Prison_Guard_Veer.png,trainer,TRN-C06-004,Prison Guard Veer,canonical,
full_body_character_illustration_in_a_clean_studi.png,canonical/core/CORE-010__Provost_Corvin_Sair.png,core,CORE-010,Provost Corvin Sair,canonical,
full_body_character_illustration_on_a_flat_bright.png,canonical/trainers/TRN-C09-004__Zealot_Caldus.png,trainer,TRN-C09-004,Zealot Caldus,canonical,
full_body_character_illustration_on_a_flat_magenta.png,canonical/trainers/TRN-C06-001__Quarry_Guard_Dorr.png,trainer,TRN-C06-001,Quarry Guard Dorr,canonical,
full_body_character_illustration_on_a_plain_brigh.png,canonical/trainers/TRN-C04-002__Merchant_Sella.png,trainer,TRN-C04-002,Merchant Sella,canonical,
full_body_character_illustration_on_a_solid_bright.png,canonical/trainers/TRN-C09-005__Marshal_Retainer_Jorin.png,trainer,TRN-C09-005,Marshal Retainer Jorin,canonical,
full_body_character_portrait_illustration_on_a_pla.png,canonical/trainers/TRN-C09-007__Relic_Keeper_Sava.png,trainer,TRN-C09-007,Relic Keeper Sava,canonical,
full_body_character_portrait_on_a_flat_bright_mag.png,canonical/trainers/TRN-C07-001__Scribe_Lio.png,trainer,TRN-C07-001,Scribe Lio,canonical,
full_body_character_portrait_on_a_flat_bright_mage.png,canonical/core/CORE-016__Chaplain_Aeric_Solm.png,core,CORE-016,Chaplain Aeric Solm,canonical,
full_body_character_portrait_on_a_plain_bright_mag.png,canonical/trainers/TRN-C08-004__Siege_Crew_Pell.png,trainer,TRN-C08-004,Siege Crew Pell,canonical,
full_body_character_portrait_on_a_solid_bright_mag.png,canonical/trainers/TRN-C06-002__Sapper_Helka.png,trainer,TRN-C06-002,Sapper Helka,canonical,
full_body_character_portrait_on_a_solid_magenta_ma.png,canonical/core/CORE-012__Castellan_Braska_Morn.png,core,CORE-012,Castellan Braska Morn,canonical,
gothic_ink_mage_among_floating_pages.png,variants_and_alternates/core/CORE-005-VARIANT__Severin_Vale_King_Below.png,core,CORE-005-VARIANT,Severin Vale — King Below,variant,
halven_ornate_fantasy_officer_portrait.png,canonical/trainers/TRN-C02-004__Officer_Halven.png,trainer,TRN-C02-004,Officer Halven,canonical,
idris_the_ornate_fantasy_archer.png,superseded_legacy/TRN-C03-003__Idris__LEGACY.png,legacy,TRN-C03-003,Idris,superseded,
imagegen.png,variants_and_alternates/trainers/TRN-C02-008__Veteran_Brann__ALT-01.png,trainer,TRN-C02-008,Veteran Brann,alternate,
knight_of_the_radiant_sun.png,canonical/trainers/TRN-C08-007__War_Captain_Elric.png,trainer,TRN-C08-007,War Captain Elric,canonical,
laleh_the_veiled_scrollkeeper.png,superseded_legacy/TRN-C03-004__Laleh__LEGACY.png,legacy,TRN-C03-004,Laleh,superseded,
lantern_bearing_scholar_adventurer.png,canonical/trainers/TRN-C05-007__Relic_Keeper_Noa.png,trainer,TRN-C05-007,Relic Keeper Noa,canonical,
lavender_healer_with_ornate_staff.png,canonical/trainers/TRN-C03-006__Field_Nurse_Selene.png,trainer,TRN-C03-006,Field Nurse Selene,canonical,
maela_teal_cloaked_scout.png,canonical/trainers/TRN-C01-003__Scout_Maela.png,trainer,TRN-C01-003,Scout Maela,canonical,
magenta_backed_fantasy_healer_with_staff.png,canonical/trainers/TRN-C03-003__Hospitaller_Ione.png,trainer,TRN-C03-003,Hospitaller Ione,canonical,
master_artisan_with_hammer_and_tools.png,canonical/trainers/TRN-C06-005__Mason_Edda.png,trainer,TRN-C06-005,Mason Edda,canonical,
nasir_the_ornate_spear_guardian.png,superseded_legacy/TRN-C03-005__Nasir__LEGACY.png,legacy,TRN-C03-005,Nasir,superseded,
neris_the_emerald_hunter.png,canonical/trainers/TRN-C02-003__Hunter_Neris.png,trainer,TRN-C02-003,Hunter Neris,canonical,
pella_the_azure_templar.png,canonical/trainers/TRN-C02-009__Ferryman_Pella.png,trainer,TRN-C02-009,Ferryman Pella,canonical,
plum_clad_smuggler_adventurer.png,canonical/trainers/TRN-C03-005__Smuggler_Jarek.png,trainer,TRN-C03-005,Smuggler Jarek,canonical,
plum_rogue_with_sealed_parcel.png,canonical/trainers/TRN-C04-006__Fixer_Vael.png,trainer,TRN-C04-006,Fixer Vael,canonical,
plum_wrapped_desert_rogue_warrior.png,canonical/trainers/TRN-C06-007__Enforcer_Kelm.png,trainer,TRN-C06-007,Enforcer Kelm,canonical,
purple_clad_fantasy_apothecary_healer.png,canonical/trainers/TRN-C08-006__Hospitaller_Senn.png,trainer,TRN-C08-006,Hospitaller Senn,canonical,
purple_clad_riverboat_traveler.png,canonical/trainers/TRN-C03-002__Ferryman_Mera.png,trainer,TRN-C03-002,Ferryman Mera,canonical,
purple_plumed_knight_with_shield.png,canonical/trainers/TRN-C09-001__Temple_Guard_Aurel.png,trainer,TRN-C09-001,Temple Guard Aurel,canonical,
regal_elder_cleric_with_ornate_staff.png,canonical/core/CORE-015__Hierophant_Lucain_Serault.png,core,CORE-015,Hierophant Lucain Serault,canonical,
regal_purple_clad_fantasy_commander.png,canonical/trainers/TRN-C03-007__Officer_Reth.png,trainer,TRN-C03-007,Officer Reth,canonical,
regal_purple_coated_commander.png,canonical/trainers/TRN-C06-006__Officer_Sorn.png,trainer,TRN-C06-006,Officer Sorn,canonical,
regal_void_conjurer.png,canonical/core/CORE-007__Nharos.png,core,CORE-007,Nharos,canonical,
roguish_scholar_in_magenta.png,canonical/core/CORE-005__Severin_Vale_Guide_Form.png,core,CORE-005,Severin Vale — Guide Form,canonical,
rugged_scout_character_card.png,canonical/trainers/TRN-C02-001__Scout_Rell.png,trainer,TRN-C02-001,Scout Rell,canonical,
samira_ornate_purple_fantasy_character.png,superseded_legacy/TRN-C03-002__Samira__LEGACY.png,legacy,TRN-C03-002,Samira,superseded,Earlier superseded identity for this trainer slot
scholarly_scribe_in_ornate_robes.png,canonical/trainers/TRN-C07-007__Heretic_Scribe_Omel.png,trainer,TRN-C07-007,Heretic Scribe Omel,canonical,
selka_the_beastkeeper.png,canonical/trainers/TRN-C02-007__Beastkeeper_Selka.png,trainer,TRN-C02-007,Beastkeeper Selka,canonical,
soraya_the_gilded_shadow_mage.png,superseded_legacy/TRN-C03-008__Soraya__LEGACY.png,legacy,TRN-C03-008,Soraya,superseded,
stern_blossom_warrior_against_magenta.png,canonical/trainers/TRN-C07-006__Guard_Captain_Vessa.png,trainer,TRN-C07-006,Guard Captain Vessa,canonical,
stern_purple_clad_swordmaster_with_briefcase.png,canonical/trainers/TRN-C04-005__Ledger_Guard_Perrin.png,trainer,TRN-C04-005,Ledger Guard Perrin,canonical,
sunburst_knight_on_magenta.png,canonical/trainers/TRN-C08-008__Duelist_Avel.png,trainer,TRN-C08-008,Duelist Avel,canonical,
varo_the_crimson_soldier.png,canonical/trainers/TRN-C02-002__Soldier_Varo.png,trainer,TRN-C02-002,Soldier Varo,canonical,
violet_bladeswoman_on_magenta.png,canonical/trainers/TRN-C08-009__Duelist_Caia.png,trainer,TRN-C08-009,Duelist Caia,canonical,
weathered_antiquarian_with_lantern_and_relic_case.png,canonical/trainers/TRN-C06-009__Prospector_Venn.png,trainer,TRN-C06-009,Prospector Venn,canonical,
weathered_knight_with_tattered_banner.png,canonical/core/CORE-014__Marshal_Oren_Talv.png,core,CORE-014,Marshal Oren Talv,canonical,
weathered_pilgrim_with_blossom_staff.png,canonical/trainers/TRN-C03-004__Pilgrim_Tomas.png,trainer,TRN-C03-004,Pilgrim Tomas,canonical,
ysarn_the_crimson_guard.png,canonical/trainers/TRN-C02-006__Guard_Ysarn.png,trainer,TRN-C02-006,Guard Ysarn,canonical,
zahra_the_ornate_magenta_archer.png,superseded_legacy/TRN-C03-006__Zahra__LEGACY.png,legacy,TRN-C03-006,Zahra,superseded,
